key,reason,datetime_from,datetime_to,bank,IBAN,approved,creation_date,type,community_home_plan_id,customer_id
42ad27ea-2d52-4e01-ba31-b6c8c33a93a6,Rođendan,2024-10-18 19:00:00.000000,2024-10-18 20:00:00.000000,Zaba,HR4325000098684775558,true,2024-09-01 00:00:00.000000,0,1,1
2d75e010-3867-47bd-ad8e-08d5749e24e9,Vjenčanje,2024-10-17 19:00:00.000000,2024-10-17 20:00:00.000000,Zaba,HR4325000098684775558,true,2024-10-01 00:00:00.000000,0,1,1
ee9116ce-402d-43f5-8d3e-75a136bf0f50,Proslava košarkaške pobjede,2024-10-16 19:00:00.000000,2024-10-16 20:00:00.000000,Zaba,HR4325000098684775558,true,2024-10-02 00:00:00.000000,0,2,1
2b6368bf-a361-41ac-a809-9866f4d4d1e0,Rođendan,2024-10-15 17:00:00.000000,2024-10-15 20:00:00.000000,Zaba,HR4325000098684775558,true,2024-09-02 00:00:00.000000,0,2,1
b175d5e8-3d1b-4caf-8785-2d947e86b756,Vjenčanje,2024-11-18 19:00:00.000000,2024-11-18 20:00:00.000000,Zaba,HR4325000098684775558,true,2024-10-02 00:00:00.000000,0,4,1
bcce8c32-b003-45d0-becd-a85fdbb87b1b,Proslava košarkaške pobjede,2024-11-17 19:00:00.000000,2024-11-17 20:00:00.000000,Zaba,HR4325000098684775558,true,2024-10-03 00:00:00.000000,0,4,1
34571776-54c9-4b67-ae0f-f9aa55586ae5,Rođendan,2024-11-16 19:00:00.000000,2024-11-16 20:00:00.000000,Zaba,HR4325000098684775558,true,2024-10-04 00:00:00.000000,0,4,1
45367863-1373-4f0a-8707-cf5dded902ed,Vjenčanje,2024-11-15 19:00:00.000000,2024-11-15 20:00:00.000000,Zaba,HR4325000098684775558,true,2024-10-05 00:00:00.000000,0,4,1
8a47b2f6-b50b-4aab-b75d-182b6716fd23,Proslava košarkaške pobjede,2024-11-17 19:00:00.000000,2024-11-17 20:00:00.000000,Zaba,HR4325000098684775558,false,2024-10-03 00:00:00.000000,0,4,1
9f625ddd-0e34-465b-89f7-00485c028fd6,Rođendan,2024-11-16 15:00:00.000000,2024-11-16 21:00:00.000000,Zaba,HR4325000098684775558,false,2024-10-04 00:00:00.000000,0,4,1
2adf7907-3559-49c7-bfa1-12c6b87e6f78,Vjenčanje,2024-11-15 16:00:00.000000,2024-11-15 21:00:00.000000,Zaba,HR4325000098684775558,false,2024-10-05 00:00:00.000000,0,4,1
8a47b2f6-b50b-4aab-b75d-182b6716fd23,Proslava košarkaške pobjede,2024-11-17 16:00:00.000000,2024-11-17 20:00:00.000000,Zaba,HR4325000098684775558,,2024-10-03 00:00:00.000000,0,4,1
9f625ddd-0e34-465b-89f7-00485c028fd6,Rođendan,2024-11-17 13:00:00.000000,2024-11-17 18:00:00.000000,Zaba,HR4325000098684775558,,2024-10-04 00:00:00.000000,0,4,1
2adf7907-3559-49c7-bfa1-12c6b87e6f78,Vjenčanje,2024-11-17 17:00:00.000000,2024-11-17 22:00:00.000000,Zaba,HR4325000098684775558,,2024-10-05 00:00:00.000000,0,4,1
